"","Barri","Any","all","violence","property_vh","property_personal","damage","other","TOTAL.x","all_rate","violence_rate","property_vh_rate","property_personal_rate","damage_rate","other_rate","sample.r","TOTAL.y","violence.r","violence.r.w","violence.r.wo","property_personal.r","property_personal.r.w","property_personal.r.wo","property_vh.r","property_vh.r.w","property_vh.r.wo","damage.r","damage.r.w","damage.r.wo","sample.f","violence.f","violence.f.w","violence.f.w2","violence.f.wo","property_personal.f","property_personal.f.w","property_personal.f.w2","property_personal.f.wo","property_vh.f","property_vh.f.w","property_vh.f.w2","property_vh.f.wo","sample.p","violence.p","violence.p.w","violence.p.w2","violence.p.wo","property_personal.p","property_personal.p.w","property_personal.p.w2","property_personal.p.wo","property_vh.p","property_vh.p.w","property_vh.p.w2","property_vh.p.wo"
"27","la nova esquerra de l'eixample","2019-20",4601.31088825215,567.548710601719,396.191977077364,3021.18338108883,346.308022922636,270.078796561605,58642,78.4644263199098,9.67819498996827,6.7561129749559,51.5191054378914,5.90546064122363,4.60555227587061,134,58642,18,154.608718097461,31.1335437783001,52,408.747236135288,82.3093944964681,22,159.372088090116,32.0927431690167,NA,NA,NA,53,7,2338.63444998346,868.531581887349,472.385572753762,25,8352.26589279807,3101.89850674053,1687.09133126344,12,4009.08762854307,1488.91128323546,809.803839006449,17,3,23.2796045493946,17.709584710357,4.42114082956016,6,37.2170648041223,23.6472696443832,7.42423040924418,7,54.5348623945319,40.4379363925001,11.4012821406382
"28","sant antoni","2015-16",5765.5,654,220.5,4269.5,256,365.5,38566,149.496966239693,16.9579422289063,5.71747134781932,110.706321630452,6.6379712700306,9.47725976248509,102,38566,12,99.1770839778497,16.7678355721906,28,266.340417766457,45.030083081833,14,129.417124401815,21.8805088348839,NA,NA,NA,52,4,1503.05301948741,582.984219778854,243.695583721115,23,8642.5548620526,3352.15926372841,1401.24960639641,24,9018.31811692445,3497.90531867313,1462.17350232669,11,1,4.6301594140043,4.6301594140043,0.787041754691189,4,34.5929135067383,29.6867647673427,5.72837821344766,6,51.5756274570748,32.04179028824,8.36218954499485
"29","sant antoni","2017-18",6741.5,706,432.5,4957,311.5,334.5,38566,174.804231706685,18.3062801431313,11.2145413058134,128.532904631022,8.07706269771301,8.67344292900482,177,38566,24,138.534873531663,30.5025868588194,58,341.519553199363,75.1957219859727,44,249.293666001514,54.8894405192983,NA,NA,NA,83,7,3296.78217387852,1570.26778378416,678.676482260778,37,17425.8486333579,8299.98685714485,3587.28997766411,18,8477.43987568763,4037.83144401641,1745.168097242,26,3,13.412538322325,9.63379931710125,2.74182538307913,15,72.0621730265144,40.2930240641673,13.0691042098039,5,24.5812904987808,21.8456059350199,5.18168416433073
"30","sant antoni","2019-20",5502.68051575931,647.359598853868,304.166189111748,3762.74785100286,322.101719197708,466.305157593123,38566,142.682168639717,16.7857594475411,7.88690009624404,97.5664536379937,8.35196077367909,12.0910946842588,86,38566,20,202.095762096528,28.0145148681274,53,585.754140975617,81.1972399678069,43,416.95083465538,57.7977253731435,NA,NA,NA,117,27,24084.2268832494,8933.09061953221,3330.85251839598,42,37464.3529294991,13895.9187414946,5181.32613972708,18,16056.1512554996,5955.39374635481,2220.56834559732,13,1,5.89195651880175,5.89195651880175,0.816743022149535,7,64.266790247858,47.5700801301786,8.89748760566487,4,35.1781811664034,35.1781811664034,4.84209608462352
"31","el poble sec-parc montjuic","2015-16",6526.5,894.5,712.5,4245,294.5,380,40409,161.511049518672,22.1361577866317,17.6322106461432,105.050855007548,7.28798040040585,9.40384567794303,208,40409,30,135.804442997154,24.1874071084383,72,320.495695683482,57.0817839012896,62,294.550089139854,52.4607499034605,NA,NA,NA,68,15,4960.04481323065,1943.44270978983,882.711585496643,16,5290.71446744603,2073.00555710915,941.559024529752,34,11242.7682433228,4405.13680885695,2000.81292712572,11,3,18.0879631426376,13.0261746713839,3.23573861518126,6,24.7874211758845,24.257567304516,4.60622432802914,2,10.0743978002031,10.0743978002031,1.93996727558925
"32","el poble sec-parc montjuic","2017-18",7641,935.5,960,4956,352.5,437,40409,189.091539013586,23.1507832413571,23.7570838179613,122.645945210225,8.72330421440768,10.8144225296345,184,40409,42,246.923439651707,47.6267682970497,74,415.36268076016,80.115448673926,50,271.013554450713,52.2732867377451,NA,NA,NA,101,16,8540.73086153299,3461.89231059764,1695.32161278382,47,25088.3969057532,10169.3086623806,4980.00723755247,16,8540.73086153299,3461.89231059764,1695.32161278382,29,2,12.8250100249838,4.94177820090425,2.74208113576134,17,91.5501157399035,58.5019366400489,18.1905893724747,6,32.2348888060719,32.2348888060719,6.15757098794513
"33","el poble sec-parc montjuic","2019-20",7086.0888252149,988.985673352435,1005.9770773639,4056.37392550143,461.585959885387,573.166189111748,40409,175.359173085573,24.4743911839549,24.894876818627,100.382932651178,11.4228503522826,14.1841220795305,123,40409,29,229.702485281325,32.8161022284367,70,562.630394836294,80.3793504069442,47,380.187628983783,54.3149373566361,NA,NA,NA,135,24,22676.9679080852,9001.39548504791,3298.07680348887,71,67086.0300614187,26629.1283099334,9756.81054365456,15,14173.1049425532,5625.87217815494,2061.29800218054,30,3,23.0847892934495,17.6192456463031,3.52151566667388,16,109.711014007458,72.9375473550598,15.8564375461263,5,27.9528968068453,27.9528968068453,3.98894852764728
"34","la marina del prat vermell-zona franca","2015-16",786,76.5,148,326,57.5,178,1199,655.546288573811,63.8031693077565,123.436196830692,271.893244370309,47.9566305254379,148.457047539616,2,1199,0,0,0,0,0,0,0,0,0,NA,NA,NA,5,2,1180.79859163132,675.348959952881,5.71466712596756,2,1180.79859163132,675.348959952881,5.71466712596756,0,0,0,0,2,1,263.575040637418,263.575040637418,1.40386275588581,0,0,0,0,0,0,0,0
"35","la marina del prat vermell-zona franca","2017-18",881,90,137,404.5,85,164.5,1199,734.778982485405,75.0625521267723,114.261884904087,337.364470391993,70.8924103419516,137.1976647206,1,1199,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,0,0,0,0,1,171.980203716719,12.2843002654799,1.12893347066053,0,0,0,0,1,0,0,0,0,1,171.980203716719,21.4975254645899,1.12893347066053,0,0,0,0
"36","la marina del prat vermell-zona franca","2019-20",734.138968481375,76.1045845272206,109.315186246418,304.886819484241,83.6504297994269,160.181948424069,1199,612.292717665868,63.4733815906761,91.1719651763289,254.284253114463,69.7668305249599,133.59628725944,1,1199,0,0,0,0,0,0,0,0,0,NA,NA,NA,5,4,5336.92054698727,2508.35654056227,21.2831503272947,1,1334.23013674682,627.089135140567,5.32078758182368,0,0,0,0,4,4,1064.15217007386,558.909667060499,4.17592980880541,0,0,0,0,0,0,0,0
