"","Barri","Any","violence","property_vh","property_personal","damage","other","TOTAL.x","sample.r","TOTAL.y","violence.r","violence.r.w","property_personal.r","property_personal.r.w","property_vh.r","property_vh.r.w","damage.r","damage.r.w","sample.f","violence.f","violence.f.w","property_personal.f","property_personal.f.w","property_vh.f","property_vh.f.w","sample.p","violence.p","violence.p.w","property_personal.p","property_personal.p.w","property_vh.p","property_vh.p.w"
"133","les corts","2020",6.84527152992387,6.35151423924084,48.6350931322788,5.4762172239391,4.4438156161473,46599,255,46599,0.579411575355694,100.635513881693,1.78115410201936,306.630748134112,1.07298439880684,187.340232440815,NA,NA,65,0.214596879761368,3350.76796396391,0.579411575355694,9047.07350270255,0.600871263331831,9382.15029909894,21,0.0429193759522737,8.18385459565328,0.171677503809095,48.8947142563739,0.236056567737505,47.5402281962512
"134","la maternitat i sant ramon","2014",10.9619873291097,11.2537512504168,52.9759919973324,6.16872290763588,9.71157052350783,23992,307,23992,1.04201400466822,71.1090597918424,1.91730576858953,150.255158277286,2.33411137045682,195.776127121951,1.20873624541514,81.098116503094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","la maternitat i sant ramon","2015",10.8369456485495,8.91963987995999,60.5201733911304,7.96098699566522,10.1283761253751,23992,161,23992,0.666888962987663,97.8021994634241,1.12537512504168,160.169601227193,1.16705568522841,167.793480509966,NA,NA,18,0.166722240746916,447.028432224982,0.125041680560187,335.271324168736,0.458486162054018,1229.3281886187,4,0.0833611203734578,10.3459627600538,0,0,0.0833611203734578,11.2180511517223
"136","la maternitat i sant ramon","2016",11.8789596532177,13.2127375791931,68.3977992664221,6.46048682894298,8.33611203734578,23992,21,23992,0,0,0.208402800933645,197.591224231177,0.291763921307102,321.101315055243,NA,NA,7,0,0,0.0416805601867289,288.86529591523,0.250083361120373,1733.19177549138,2,0,0,0,0,0.0833611203734578,97.295668015656
"137","la maternitat i sant ramon","2017",11.0036678892964,18.5061687229076,66.8556185395132,8.71123707902634,6.16872290763588,23992,54,23992,0.0833611203734578,44.3702109236554,0.791930643547849,371.284445289101,0.37512504168056,175.011529170016,NA,NA,8,0,0,0.0416805601867289,144.458493312553,0.291763921307102,1011.20945318787,6,0,0,0.0416805601867289,13.1789835903762,0.208402800933645,94.7387519289459
"138","la maternitat i sant ramon","2018",10.0033344448149,15.6302100700233,64.9799933311104,7.75258419473158,6.46048682894298,23992,134,23992,1.00033344448149,179.125209821901,1.41713904634878,255.082411287232,1.41713904634878,252.162212712256,NA,NA,32,0.208402800933645,1722.20952709635,0.500166722240747,4133.30286503124,0.625208402800934,5166.62858128906,8,0.0416805601867289,13.3288460496673,0.166722240746916,29.1864883533198,0.125041680560187,51.0981185691657
"139","la maternitat i sant ramon","2019",13.0043347782594,21.6322107369123,67.189063021007,7.75258419473158,8.71123707902634,23992,17,23992,0,0,0.0833611203734578,187.428172927202,0.208402800933645,324.78792769348,NA,NA,8,0,0,0.125041680560187,2393.7702369035,0.208402800933645,3989.61706150583,6,0,0,0.0833611203734578,151.961797374965,0.166722240746916,533.251445120137
"140","la maternitat i sant ramon","2020",10.0696172840804,12.5543280424898,41.1067060557913,6.0156155203597,8.06441211062713,23992,133,23992,1.16705568522841,192.959604516515,2.58419473157719,456.554104674925,1.41713904634878,254.349221859034,NA,NA,26,0.166722240746916,1037.71748688088,0.37512504168056,2334.86434548199,0.541847282427476,3372.58183236287,6,0,0,0.0833611203734578,35.9935429036965,0.166722240746916,41.6082293533493
"141","pedralbes","2014",9.16666666666667,13.6666666666667,43.5833333333333,7.83333333333333,4.75,12000,86,12000,0.833333333333333,210.708312550195,1.33333333333333,212.338599016819,2.58333333333333,412.707413891673,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","pedralbes","2015",9.58333333333333,8.66666666666667,49,6.25,5,12000,78,12000,0.666666666666667,96.2282066747497,1.16666666666667,169.03759618535,2.33333333333333,354.389388352526,NA,NA,12,0.0833333333333333,170.49728648596,0.0833333333333333,170.49728648596,0.833333333333333,1704.9728648596,4,0.0833333333333333,12.6239926497677,0,0,0.25,48.5423871057908
"143","pedralbes","2016",9.41666666666667,9.41666666666667,49.75,6.75,5.83333333333333,12000,8,12000,0.166666666666667,574.627774510861,0.166666666666667,349.987647576663,0.25,598.093899294694,NA,NA,6,0.166666666666667,3145.61516833541,0.0833333333333333,1572.8075841677,0.25,4718.42275250311,2,0.166666666666667,574.627774510861,0,0,0,0
"144","pedralbes","2017",6.58333333333333,10.25,52.5,6.75,4.08333333333333,12000,33,12000,0,0,0.5,166.727556019713,1.08333333333333,421.122891011809,NA,NA,1,0,0,0,0,0.0833333333333333,28.7832487374853,0,0,0,0,0,0,0
"145","pedralbes","2018",8.08333333333333,10.75,53.9166666666667,6.75,3.5,12000,56,12000,0.25,55.4836368834317,0.833333333333333,154.454992234028,1.41666666666667,303.216836354154,NA,NA,5,0,0,0.0833333333333333,185.45675964735,0.333333333333333,741.827038589402,4,0,0,0.0833333333333333,29.6560439220003,0.25,111.301045845157
